"The site collects your cookies or tracking elements for a purpose outside of our label scheme. Collection happens when you implicitly provide information on the website, and your data's identifiability is not covered by our label scheme.",Cookies
"The site collects your generic personal information for marketing purposes. Collection happens when you implicitly provide information by an unnamed service or third party, and your data is identifiable.",3P Analysis
An unspecified third party does receive your unspecified personal information for an unspecified purpose. The data is personally identifiable.,3P Analysis
"You can make a choice about your privacy not described by our label scheme the use of cookies and tracking elements by the site, which collects it for a basic service or feature.",Cookies
An unspecified third party does do something unspecified with unspecified information about you for targeted advertising.,Targeted Advertising
The site collects an information type outside of our label scheme for personalization or customization. Collection happens on the website. You can opt in for data collection.,Personalization
"The site collects your website activities for analytics or research. Collection happens when you implicitly provide information in an unspecified way, and your data is aggregated or anonymized. You can opt out by contacting the company.",Action
"The site collects your financial information for an unspecified purpose. Collection happens on the website, and your data is identifiable.",Payment
"The site collects your contact information for an additional (non-basic) service or feature. Collection happens by an unnamed service or third party, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",3P Analysis
An unnamed third party does track on the first party website or app your cookies or tracking elements for analytics or research. The data is personally identifiable.,Cookies
The site collects your unspecified information for marketing purposes. Collection happens in an unspecified way. You can opt out by contacting the company.,Action
The company/organization trains its employees/third parties in applicable privacy and security practices to protect user data.,Security
The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way.,IP Address
"The site collects your generic personal information for marketing purposes. Collection happens in an unspecified way, and your data is identifiable. You can opt in for data collection for the use of your information.",1P Analysis
An unnamed third party does receive your unspecified personal information for marketing purposes. The data is personally identifiable. You can opt in for data collection for the use of your information.,3P Analysis
An unnamed third party does collect on the first party website or app your activities on the website or app for targeted advertising. The data is personally identifiable.,Targeted Advertising
"The site collects your unspecified information for analytics or research. Collection happens when you implicitly provide information in an unspecified way, and your data is aggregated or anonymized.",1P Analysis
A named third party does receive your computer information for analytics or research.,3P Analysis
The site collects your location information for an additional (non-basic) service or feature. Collection happens by some means outside of our label scheme for users with accounts.,Location
"The site collects your location information for an unspecified purpose. Collection happens when you implicitly provide information in the mobile app, and your data is aggregated or anonymized.",Location
"The site collects your cookies or tracking elements for personalization or customization. Collection happens on the website, and your data is aggregated or anonymized.",Personalization
An unnamed third party does receive your contact information for an additional (non-basic) service or feature. The data is personally identifiable. You can choose not to use the service or feature for the use of your information.,3P Analysis
A named third party does track on the first party website or app unspecified information about you for targeted advertising. You can configure your privacy with third-party user settings.,Targeted Advertising
A user without an account can opt out (via a link) from the use of unspecified information by an unspecified party for marketing purposes.,Action
The site collects your IP address or device IDs for an additional (non-basic) service or feature. Collection happens when you implicitly provide information in an unspecified way.,IP Address
"The site does not collect your website activities for personalization or customization. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",Personalization
An unnamed third party does do something unspecified with your cookies or tracking elements for a basic service or feature.,Cookies
The site collects your IP address or device IDs for personalization or customization. Collection happens when you implicitly provide information by some means outside of our label scheme.,IP Address
"The site collects your unspecified information for legal requirements. Collection happens in an unspecified way, and your data is identifiable.",Disclosure
